代码,名称,涨幅%%,现价,涨跌,买价,卖价,总量,现量,涨速%%,换手%%,今开,最高,最低,昨收,市盈(动),总金额,量比,细分行业,地区,振幅%%
1,平安银行,1.56,10.4,0.16,10.39,10.4,482638,35,0.1,0.28,10.24,10.44,10.23,10.24,6.55,500655616,1.39,银行,深圳,2.05
2,万 科Ａ,0.83,25.37,0.21,25.37,25.38,132819,26,-0.03,0.14,25.15,25.5,24.83,25.16,15.02,334998656,1.14,全国地产,深圳,2.66
4,国农科技,-0.3,16.66,-0.05,16.68,16.73,708,1,0,0.09,16.7,16.83,16.55,16.71,0,1180272,0.76,生物制药,深圳,1.68
5,世纪星源,-1.31,3.02,-0.04,3.01,3.02,122401,134,0,1.16,3.06,3.09,3,3.06,367.06,37106640,0.77,房产服务,深圳,2.94
6,深振业Ａ,0.37,5.39,0.02,5.39,5.4,45064,33,0,0.33,5.37,5.41,5.31,5.37,10.84,24126132,1.28,区域地产,深圳,1.86
7,全新好,0.28,7.15,0.02,7.15,7.16,50461,30,0,1.63,7.12,7.25,7.07,7.13,0,36112056,0.73,酒店餐饮,深圳,2.52
8,神州高铁,-0.5,4.02,-0.02,4.01,4.02,81782,24,0,0.32,4.05,4.05,4,4.04,67.85,32915172,0.84,运输设备,北京,1.24
9,中国宝安,-0.88,4.48,-0.04,4.48,4.49,110015,91,0,0.52,4.52,4.52,4.43,4.52,73.24,49141268,1.83,综合类,深圳,1.99
10,美丽生态,1.21,3.53,0,3.53,3.54,15198,30,0.28,0.29,3.53,3.57,3.51,3.53,0,5368052,0.5,建筑工程,深圳,1.7
11,深物业A,1.24,9.8,0.12,9.79,9.8,21803,82,-0.5,1.24,9.72,9.92,9.64,9.68,30.38,21244350,1.6,区域地产,深圳,2.89
12,南 玻Ａ,-0.24,4.18,-0.01,4.17,4.18,24193,109,0,0.14,4.18,4.22,4.16,4.19,19.13,10141063,0.84,玻璃,深圳,1.43
14,沙河股份,-1.79,9.87,-0.18,9.87,9.91,53939,35,-0.29,2.67,10,10,9.71,10.05,659.33,53059596,2.93,全国地产,深圳,2.89
16,深康佳Ａ,1.44,3.52,0.05,3.51,3.52,44942,100,0.57,0.28,3.49,3.52,3.45,3.47,14.79,15669196,1,家用电器,深圳,2.02
17,深中华A,0.41,4.85,0.02,4.85,4.86,36138,188,-0.6,1.19,4.84,4.89,4.76,4.83,1849.26,17365880,0.84,文教休闲,深圳,2.69
18,神州长城,-4.74,2.61,-0.13,2.61,2.62,893451,72,0,8.97,2.56,2.66,2.51,2.74,130.45,230027616,3.01,装修装饰,深圳,5.47
19,深深宝Ａ,0.55,7.3,0.04,7.29,7.3,29352,20,-0.13,0.71,7.26,7.34,7.2,7.26,0,21352420,1.71,软饮料,深圳,1.93
20,深华发Ａ,0.28,10.91,0.03,10.9,10.91,6367,7,0,0.35,10.87,10.95,10.76,10.88,4658.15,6900798,1.4,元器件,深圳,1.75
21,深科技,-0.64,6.24,-0.04,6.23,6.24,51687,8,0,0.35,6.24,6.31,6.21,6.28,15.62,32283168,1.31,电脑设备,深圳,1.59
23,深天地Ａ,-0.55,12.55,-0.07,12.55,12.57,11237,10,-0.23,0.81,12.62,12.62,12.39,12.62,122.81,14050849,0.88,其他建材,深圳,1.82
25,特 力Ａ,1.69,27.6,0.46,27.59,27.6,18377,1,0.15,0.68,27.1,27.65,27.07,27.14,171.7,50456084,1.47,汽车服务,深圳,2.14
26,飞亚达Ａ,-0.86,8.06,-0.07,8.06,8.07,21620,10,0.25,0.61,8.1,8.1,7.93,8.13,16.31,17298522,1.76,其他商业,深圳,2.09
27,深圳能源,-0.37,5.32,-0.02,5.32,5.34,9754,10,-0.18,0.02,5.32,5.36,5.32,5.34,26.2,5210138,0.69,火力发电,深圳,0.75
28,国药一致,2.12,40.01,0.83,40,40.01,13090,1,-0.09,0.43,39.35,40.5,39.23,39.18,13.86,52558716,2.15,医药商业,深圳,3.24
29,深深房Ａ,1.21,11.17,0,0,0,0,0,0,0,0,0,0,11.17,22.66,0,0,区域地产,深圳,0
30,富奥股份,-0.74,4,-0.03,4,4.01,14361,7,0.25,0.08,4.04,4.05,3.99,4.03,8.22,5772874,0.87,汽车配件,吉林,1.49
31,中粮地产,-0.4,5.04,-0.02,5.04,5.05,24758,3,0,0.14,5.06,5.07,5.03,5.06,7.55,12490067,0.88,全国地产,深圳,0.79
32,深桑达Ａ,8.21,8.57,0.65,8.56,8.57,78378,41,-0.91,1.91,7.92,8.71,7.86,7.92,31.81,65205924,5.11,元器件,深圳,10.73
34,神州数码,1.03,12.78,0.13,12.78,12.79,27962,12,-0.07,0.78,12.63,12.95,12.6,12.65,18.2,35847424,0.98,综合类,深圳,2.77
35,中国天楹,-3.43,5.35,-0.19,5.35,5.36,74963,29,0,0.59,5.56,5.58,5.3,5.54,32.54,40475716,3.08,环境保护,江苏,5.05
36,华联控股,0.18,5.72,0.01,5.71,5.73,22888,11,0,0.2,5.71,5.8,5.68,5.71,6.63,13144452,1.12,全国地产,深圳,2.1
37,深南电A,-0.78,5.08,-0.04,5.08,5.09,9037,39,0.2,0.27,5.13,5.13,5.06,5.12,61.78,4600154,0.35,火力发电,深圳,1.37
38,深大通,-0.39,12.69,-0.05,12.69,12.7,7032,70,-0.3,0.39,12.77,12.79,12.67,12.74,22.61,8948512,0.71,广告包装,深圳,0.94
39,中集集团,0.44,11.45,0.05,11.44,11.45,28071,1,-0.08,0.22,11.43,11.53,11.42,11.4,11.06,32187564,0.94,轻工机械,深圳,0.96
40,东旭蓝天,1.25,7.27,0.09,7.26,7.27,94640,10,0.14,0.89,7.18,7.32,7.17,7.18,5.77,68713984,1.47,新型电力,深圳,2.09
42,中洲控股,0.62,11.34,0.07,11.32,11.34,1763,2,0.18,0.03,11.33,11.36,11.28,11.27,7.46,1997981,0.59,全国地产,深圳,0.71
43,中航善达,1.81,7.89,0.14,7.89,7.9,12487,49,-0.12,0.19,7.75,7.91,7.74,7.75,4.75,9810785,1.46,房产服务,深圳,2.19
45,深纺织Ａ,0.62,6.46,0.04,6.46,6.48,61402,10,-0.3,1.34,6.5,6.64,6.4,6.42,201.91,40034504,2.97,纺织,深圳,3.74
46,泛海控股,1.81,5.05,0.09,5.05,5.06,25437,7,-0.19,0.05,4.96,5.08,4.96,4.96,10.83,12827587,1.96,全国地产,北京,2.42
48,*ST康达,0.11,17.53,0.02,17.5,17.53,921,5,0,0.02,17.52,17.62,17.4,17.51,57.53,1614041,1.28,饲料,深圳,1.26
49,德赛电池,-0.76,28.68,-0.22,28.68,28.7,10217,1,-0.06,0.5,28.8,29.1,28.55,28.9,16.08,29477128,0.62,电气设备,深圳,1.9
50,深天马Ａ,0.92,9.91,0.09,9.89,9.91,69195,18,0.2,0.49,9.84,10.01,9.82,9.82,11.94,68702040,1.37,元器件,深圳,1.93
55,方大集团,10,4.84,0.44,4.84,0,36342,10,0,0.54,4.84,4.84,4.84,4.4,12.69,17589644,1.13,其他建材,深圳,0
56,皇庭国际,-0.61,4.85,-0.03,4.85,4.86,25584,6,0,0.28,4.86,4.88,4.82,4.88,28.15,12395358,0.64,房产服务,深圳,1.23
58,深 赛 格,2.4,6.83,0.16,6.83,6.84,240893,10,-0.14,4.48,6.67,6.98,6.55,6.67,45.84,163535136,1.69,元器件,深圳,6.45
59,华锦股份,-0.49,6.06,-0.03,6.05,6.06,39380,10,0.17,0.25,6.11,6.11,6.04,6.09,6.86,23939540,1.36,石油加工,辽宁,1.15
60,中金岭南,-0.73,4.09,-0.03,4.08,4.09,89908,20,0.25,0.25,4.12,4.13,4.06,4.12,14.23,36830936,1.23,铅锌,深圳,1.7
61,农 产 品,-0.81,4.87,-0.04,4.85,4.87,23801,7,0,0.14,4.88,4.91,4.84,4.91,131.22,11600865,0.99,农业综合,深圳,1.43
62,深圳华强,1.21,17.28,0,17.28,17.3,6361,7,-0.16,0.09,17.29,17.38,17.15,17.28,18.01,10999951,1,批发业,深圳,1.33
63,中兴通讯,-1.46,20.3,-0.3,20.3,20.31,393662,8,-0.24,1.15,20.55,20.61,20.22,20.6,0,803189632,0.9,通信设备,深圳,1.89
65,北方国际,0.25,7.99,0.02,7.97,7.99,13501,7,0.25,0.21,7.97,8.05,7.96,7.97,10.45,10800103,1.37,建筑工程,北京,1.13
66,中国长城,1.99,5.12,0.1,5.11,5.12,304727,19,0.2,1.22,5.01,5.22,4.99,5.02,54.21,156736160,3.82,电脑设备,深圳,4.58
68,华控赛格,10.05,4.6,0.42,4.6,0,504546,79,0,5.01,4.16,4.6,4.15,4.18,0,221164944,3.14,元器件,深圳,10.77
69,华侨城Ａ,1.21,6.18,0,6.18,6.19,58101,1,-0.15,0.08,6.18,6.22,6.15,6.18,7.47,35959496,0.6,旅游景点,深圳,1.13
70,特发信息,6.15,11.91,0.69,11.91,11.93,553760,5,-0.41,9.22,11.32,12.21,11.3,11.22,34.09,655970496,1.27,通信设备,深圳,8.11
78,海王生物,-0.31,3.25,-0.01,3.25,3.26,102337,36,0,0.55,3.24,3.32,3.23,3.26,14.94,33520160,1.19,生物制药,深圳,2.76
88,盐 田 港,1.21,5.21,0,5.21,5.22,21204,20,0.39,0.11,5.21,5.22,5.17,5.21,25.45,11010579,0.94,港口,深圳,0.96
89,深圳机场,-0.13,7.87,-0.01,7.86,7.87,14236,20,0,0.07,7.85,7.89,7.84,7.88,21.01,11191527,0.7,机场,深圳,0.63
90,天健集团,0.8,5.07,0.04,5.07,5.08,33976,8,1.2,0.24,5.03,5.08,4.99,5.03,31.32,17055360,0.93,建筑工程,深圳,1.79
96,广聚能源,-0.43,9.21,-0.04,9.22,9.23,647,4,-0.1,0.01,9.24,9.25,9.2,9.25,37.95,596218,0.57,石油贸易,深圳,0.54
99,中信海直,-0.49,6.09,-0.03,6.08,6.09,16834,24,0,0.28,6.14,6.14,6.07,6.12,31.45,10287543,0.99,空运,深圳,1.14
100,TCL 集团,-1.47,2.69,-0.04,2.68,2.69,466187,622,0.37,0.36,2.72,2.73,2.68,2.73,10.98,125911616,0.77,家用电器,广东,1.83
150,宜华健康,-0.65,13.81,-0.09,13.81,13.82,22575,12,-0.06,0.39,13.91,13.95,13.8,13.9,31.56,31299334,0.51,医疗保健,广东,1.08
151,中成股份,-1.69,11.06,-0.19,11.06,11.07,33907,2,0,1.27,11.15,11.18,10.99,11.25,37.2,37593744,1.02,商贸代理,北京,1.69
153,丰原药业,0.18,5.62,0.01,5.61,5.62,5174,1,0,0.17,5.61,5.63,5.58,5.61,23.31,2900932,0.51,化学制药,安徽,0.89
155,川能动力,-0.54,3.68,-0.02,3.68,3.69,20866,200,-0.26,0.22,3.71,3.74,3.68,3.7,0,7730546,1.29,农药化肥,四川,1.62
156,华数传媒,-0.35,8.58,-0.03,8.57,8.58,26809,1,0.23,0.21,8.61,8.66,8.53,8.61,19.11,23093466,1.19,影视音像,浙江,1.51
157,中联重科,0.82,3.69,0.03,3.68,3.69,81074,16,0,0.13,3.67,3.7,3.66,3.66,16.59,29883934,1.31,工程机械,湖南,1.09
158,常山北明,0.18,5.44,0.01,5.43,5.44,38009,32,0.18,0.23,5.43,5.5,5.4,5.43,169.78,20752246,1.34,纺织,河北,1.84
159,国际实业,-0.7,4.26,-0.03,4.26,4.27,18441,173,-0.22,0.38,4.29,4.3,4.25,4.29,57.29,7877540,0.71,石油贸易,新疆,1.17
166,申万宏源,-0.68,4.38,-0.03,4.38,4.39,107778,37,0.23,0.05,4.42,4.42,4.37,4.41,22.36,47306832,0.83,证券,新疆,1.13
301,东方盛虹,0.58,5.23,0.03,5.22,5.23,20643,3,0.19,0.17,5.22,5.27,5.21,5.2,24.3,10810764,0.99,综合类,江苏,1.15
333,美的集团,-0.1,40.96,-0.04,40.96,40.97,125648,18,-0.06,0.2,41,41.44,40.62,41,11.27,515176832,0.71,家用电器,广东,2
338,潍柴动力,-1.23,8.02,-0.1,8.01,8.02,189065,2092,0,0.45,8.13,8.17,8,8.12,7.95,152714944,1.19,汽车配件,山东,2.09
