代码,名称,涨幅%%,现价,涨跌,买价,卖价,总量,现量,涨速%%,换手%%,今开,最高,最低,昨收,市盈(动),总金额,量比,细分行业,地区,振幅%%
002634,棒杰股份,-1.36,5.06,-0.07,5.05,5.06,25773,412,-0.19,0.95,5.1,5.18,5.03,5.13,69.89,13129170,0.88,服饰,浙江,2.92
002635,安洁科技,-2.28,11.13,-0.26,11.12,11.13,61818,697,0.09,1.69,11.38,11.38,11.08,11.39,14.46,69163144,0.9,电脑设备,江苏,2.63
002636,金安国纪,-2.47,7.49,-0.19,7.49,7.5,46110,859,-0.12,1.87,7.66,7.68,7.49,7.68,17.28,34861040,1,元器件,上海,2.47
002637,赞宇科技,-1.36,7.24,-0.1,7.23,7.24,15367,481,0,0.59,7.33,7.37,7.24,7.34,15.26,11193010,0.85,日用化工,浙江,1.77
002638,勤上股份,1.09,2.78,0.03,2.77,2.78,174291,1353,0.36,1.78,2.76,2.82,2.74,2.75,43.85,48474052,1.08,半导体,广东,2.91
002639,雪人股份,4.06,7.17,0.28,7.16,7.17,588193,4473,-0.13,11.39,6.79,7.55,6.77,6.89,264.35,423314688,1.22,专用机械,福建,11.32
002640,跨境通,0.09,11.07,0.01,11.06,11.07,42860,603,-0.08,0.42,11.05,11.17,10.97,11.06,15.62,47559488,0.86,服饰,山西,1.81
002641,永高股份,0,3.49,0,3.44,3.49,22425,849,1.16,0.25,3.5,3.51,3.44,3.49,18.11,7804173,0.84,塑料,浙江,2.01
002642,荣之联,-3.69,6.79,-0.26,6.78,6.79,171615,1085,0.3,3.33,6.91,6.93,6.7,7.05,796.29,116771696,1.58,软件服务,北京,3.26
002643,万润股份,-3.66,10,-0.38,9.99,10,48154,789,0,0.54,10.33,10.33,9.98,10.38,22.27,48749132,1.05,化工原料,山东,3.37
002644,佛慈制药,0.63,8,0.05,7.99,8,8604,480,0.38,0.17,7.93,8,7.92,7.95,53.58,6847858,1.05,中成药,甘肃,1.01
002645,华宏科技,-2,7.35,-0.15,7.35,7.37,14727,139,-0.53,0.48,7.54,7.56,7.34,7.5,16.08,10948595,0.97,专用机械,江苏,2.93
002646,青青稞酒,-1.44,10.97,-0.16,10.96,10.97,11677,189,0.18,0.26,11.12,11.13,10.94,11.13,42.65,12878691,0.87,白酒,青海,1.71
002647,仁东控股,-0.63,14.11,-0.09,14.11,14.12,7445,14,-0.06,0.13,14.33,14.33,14.03,14.2,199.27,10503482,0.91,多元金融,浙江,2.11
002648,卫星石化,0.5,10.06,0.05,10.06,10.07,47798,497,-0.09,0.46,10.01,10.18,10,10.01,12.91,48312964,1.16,化工原料,浙江,1.8
002649,博彦科技,-2.61,7.83,-0.21,7.82,7.83,58114,612,-0.12,1.39,8,8.04,7.82,8.04,18.43,46101776,0.83,软件服务,北京,2.74
002650,加加食品,-2.2,3.56,-0.08,3.55,3.56,105317,977,0,1.11,3.62,3.63,3.55,3.64,29.73,37773976,1.17,食品,湖南,2.2
002651,利君股份,-2.13,4.6,-0.1,4.6,4.61,54032,1333,-0.21,1.29,4.71,4.73,4.58,4.7,35.27,25114840,0.47,专用机械,四川,3.19
002652,扬子新材,-1.44,4.1,-0.06,4.1,4.11,26147,384,-0.48,0.51,4.13,4.18,4.1,4.16,32.12,10819595,0.62,其他建材,江苏,1.92
002653,海思科,-1.48,9.98,-0.15,9.98,9.99,31281,504,0.71,0.69,10.15,10.19,9.85,10.13,26.67,31388562,1.01,化学制药,西藏,3.36
002654,万润科技,-2.61,4.1,-0.11,4.1,4.11,46294,1263,-0.48,0.8,4.2,4.25,4.1,4.21,19.78,19179828,0.83,半导体,深圳,3.56
002655,共达电声,-2.7,6.85,-0.19,6.85,6.86,49749,787,-0.14,1.38,7.04,7.15,6.84,7.04,436.29,34478924,1.05,元器件,山东,4.4
002656,摩登大道,-4.69,5.49,-0.27,5.49,5.5,198735,2592,0,4.21,5.74,5.77,5.48,5.76,50.26,111109336,1.04,服饰,广东,5.03
002657,中科金财,-2.37,13.17,-0.32,13.17,13.18,57758,547,-0.14,2.09,13.34,13.49,13.1,13.49,49.35,76582304,1.2,软件服务,北京,2.89
002658,雪迪龙,0.55,7.29,0.04,7.29,7.3,19986,254,0.41,0.66,7.25,7.36,7.13,7.25,23.7,14496169,1,环境保护,北京,3.17
002659,凯文教育,-0.14,7.15,-0.01,7.15,7.16,21231,711,-0.13,0.68,7.19,7.22,7.11,7.16,19.6,15227837,0.46,文教休闲,江苏,1.54
002660,茂硕电源,-2.5,6.23,-0.16,6.23,6.24,66682,879,-0.31,3.16,6.48,6.48,6.23,6.39,176.19,42061140,0.48,电气设备,深圳,3.91
002661,克明面业,2.86,12.6,0.35,12.59,12.6,49499,249,0,1.51,12.28,12.7,12.26,12.25,19.16,61993060,2.48,食品,湖南,3.59
